"filename", "language", "Dart", "JSON", "C++", "YAML", "Markdown", "Properties", "Groovy", "XML", "HTML", "Swift", "comment", "blank", "total"
"e:\Dev\Projects\HTI\jwt_auth\lib\screens\download_dialog.dart", "Dart", -71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -80
"e:\Dev\Projects\HTI\jwt_auth\lib\screens\home.dart", "Dart", -293, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -17, -313
"e:\Dev\Projects\HTI\jwt_auth\lib\screens\login.dart", "Dart", -99, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -6, -106
"e:\Dev\Projects\HTI\jwt_auth\lib\screens\survey_page.dart", "Dart", -259, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -13, -276
"e:\Dev\Projects\HTI\jwt_auth\lib\screens\ticket_page.dart", "Dart", -774, 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, -33, -823
"e:\Dev\Projects\HTI\jwt_auth\lib\services\api_service.dart", "Dart", -314, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -37, -357
"e:\Dev\Projects\HTI\jwt_auth\lib\services\auth_service.dart", "Dart", -62, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -11, -74
"e:\Dev\Projects\HTI\jwt_auth\lib\services\check_permissions.dart", "Dart", -22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -24
"e:\Dev\Projects\HTI\jwt_auth\lib\services\location_services.dart", "Dart", -24, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -6, -32
"e:\Dev\Projects\HTI\jwt_auth\lib\theme\colors.dart", "Dart", -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -9
"e:\Dev\Projects\HTI\jwt_auth\lib\theme\routes.dart", "Dart", -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -6
"e:\Dev\Projects\HTI\jwt_auth\lib\theme\theme.dart", "Dart", -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -9
"e:\Dev\Projects\HTI\jwt_auth\lib\widgets\comment_card.dart", "Dart", -53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -57
"e:\Dev\Projects\HTI\jwt_auth\lib\widgets\comment_section.dart", "Dart", -80, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -7, -88
"e:\Dev\Projects\HTI\jwt_auth\lib\widgets\map_box.dart", "Dart", -60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -64
"e:\Dev\Projects\HTI\jwt_auth\lib\widgets\text_field.dart", "Dart", -64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -67
"e:\Dev\Projects\HTI\jwt_auth\lib\widgets\ticket_card.dart", "Dart", -236, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -7, -245
"e:\Dev\Projects\HTI\jwt_auth\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, -11, 0, 0, 0, 0, 0, 0, 0, -4, -5, -20
"e:\Dev\Projects\HTI\jwt_auth\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, -5, -6, -16
"e:\Dev\Projects\HTI\jwt_auth\linux\main.cc", "C++", 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, -2, -7
"e:\Dev\Projects\HTI\jwt_auth\linux\my_application.cc", "C++", 0, 0, -74, 0, 0, 0, 0, 0, 0, 0, -11, -20, -105
"e:\Dev\Projects\HTI\jwt_auth\linux\my_application.h", "C++", 0, 0, -7, 0, 0, 0, 0, 0, 0, 0, -7, -5, -19
"e:\Dev\Projects\HTI\jwt_auth\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, -18, -3, -4, -25
"e:\Dev\Projects\HTI\jwt_auth\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -2, -4, -13
"e:\Dev\Projects\HTI\jwt_auth\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, 0, -2, -10
"e:\Dev\Projects\HTI\jwt_auth\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, -68, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -69
"e:\Dev\Projects\HTI\jwt_auth\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, -343, 0, 0, 0, -1, -344
"e:\Dev\Projects\HTI\jwt_auth\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, -4, -16
"e:\Dev\Projects\HTI\jwt_auth\pubspec.yaml", "YAML", 0, 0, 0, -43, 0, 0, 0, 0, 0, 0, -60, -17, -120
